Category	Precision	Recall	F1-score	TP	FP	FN
COLO829_ONT_PAO,0.6,Longphase_TO_v0_0_1,indel	0.18860510805500982	0.1949238578680203	0.19171243135297053	192	826	793
COLO829_ONT_PAO,0.4,Longphase_TO_v0_0_1,indel	0.10126582278481013	0.09746192893401015	0.09932747025349198	96	852	889
COLO829_ONT_PAO,0.2,Longphase_TO_v0_0_1,indel	0.011547344110854504	0.01015228426395939	0.010804970286331712	10	856	975
H1437_ONT,1.0,Longphase_TO_v0_0_1,indel	0.5250875145857643	0.33088235294117646	0.4059539918809202	1350	1221	2730
H1437_ONT,0.8,Longphase_TO_v0_0_1,indel	0.5922489082969432	0.2659313725490196	0.36705006765899867	1085	747	2995
H1437_ONT,0.6,Longphase_TO_v0_0_1,indel	0.5224787363304981	0.2107843137254902	0.30038421236465246	860	786	3220
H1437_ONT,0.4,Longphase_TO_v0_0_1,indel	0.31634182908545727	0.1034313725490196	0.15589213151089767	422	912	3658
H1437_ONT,0.2,Longphase_TO_v0_0_1,indel	0.04490177736202058	0.011764705882352941	0.01864439697028549	48	1021	4032
H2009_ONT,1.0,Longphase_TO_v0_0_1,indel	0.7282221694754332	0.6484886916085394	0.6860465116279069	3068	1145	1663
H2009_ONT,0.8,Longphase_TO_v0_0_1,indel	0.7748199185718759	0.5229338406256605	0.6244321049974759	2474	719	2257
H2009_ONT,0.6,Longphase_TO_v0_0_1,indel	0.6909230180007659	0.3813147326146692	0.49141923181694364	1804	807	2927
H2009_ONT,0.4,Longphase_TO_v0_0_1,indel	0.49945828819068255	0.1948848023673642	0.28037098981298464	922	924	3809
H2009_ONT,0.2,Longphase_TO_v0_0_1,indel	0.09780775716694773	0.024519129148171635	0.039209058644583406	116	1070	4615
HCC1395_ONT,1.0,Longphase_TO_v0_0_1,indel	0.3053040103492885	0.4419475655430712	0.36113236419280803	708	1611	894
HCC1395_ONT,0.8,Longphase_TO_v0_0_1,indel	0.32877526753864444	0.34519350811485644	0.33678440925700365	553	1129	1049
HCC1395_ONT,0.6,Longphase_TO_v0_0_1,indel	0.26	0.24344569288389514	0.2514506769825919	390	1110	1212
HCC1395_ONT,0.4,Longphase_TO_v0_0_1,indel	0.1215429403202329	0.10424469413233459	0.11223118279569892	167	1207	1435
HCC1395_ONT,0.2,Longphase_TO_v0_0_1,indel	0.01386748844375963	0.011235955056179775	0.012413793103448275	18	1280	1584
HCC1395_ONT_Dorado,1.0,Longphase_TO_v0_0_1,indel	0.37987987987987987	0.4737827715355805	0.42166666666666663	759	1239	843
HCC1395_ONT_Dorado,0.8,Longphase_TO_v0_0_1,indel	0.4563265306122449	0.3489388264669164	0.39547223204810755	559	666	1043
HCC1395_ONT_Dorado,0.6,Longphase_TO_v0_0_1,indel	0.3836538461538462	0.24906367041198502	0.3020439061317184	399	641	1203
