Category	Precision	Recall	F1-score	TP	FP	FN
H2009_ONT,0.8,Longphase_TO_v0_0_1_2,snv	0.9324687635979362	0.8738822055867874	0.9022253965867226	120005	8691	17319
H2009_ONT,0.6,Longphase_TO_v0_0_1_2,snv	0.9094339339564611	0.8828245608924878	0.8959317148874848	121233	12073	16091
H2009_ONT,0.4,Longphase_TO_v0_0_1_2,snv	0.891713747645951	0.7999475692522793	0.8433416757512014	109852	13340	27472
H2009_ONT,0.2,Longphase_TO_v0_0_1_2,snv	0.8238990984743412	0.4152733680929772	0.552212646460734	57027	12189	80297
HCC1395_ONT,1.0,Longphase_TO_v0_0_1_2,snv	0.6990807344371023	0.726797982102568	0.7126699644535036	28670	12341	10777
HCC1395_ONT,0.8,Longphase_TO_v0_0_1_2,snv	0.7400318104535732	0.6841077901995082	0.7109717703160197	26986	9480	12461
HCC1395_ONT,0.6,Longphase_TO_v0_0_1_2,snv	0.6987289961223611	0.6577940020787386	0.6776438635206248	25948	11188	13499
HCC1395_ONT,0.4,Longphase_TO_v0_0_1_2,snv	0.6555988790057268	0.5455928207468248	0.5955586302317536	21522	11306	17925
HCC1395_ONT,0.2,Longphase_TO_v0_0_1_2,snv	0.4948434790544857	0.274900499404264	0.3534492593015108	10844	11070	28603
HCC1395_ONT_Dorado,1.0,Longphase_TO_v0_0_1_2,snv	0.7073768282823334	0.7319441275635663	0.7194508123193462	28873	11944	10574
HCC1395_ONT_Dorado,0.8,Longphase_TO_v0_0_1_2,snv	0.8060861765389854	0.6151038101756787	0.6977626962673261	24264	5837	15183
HCC1395_ONT_Dorado,0.6,Longphase_TO_v0_0_1_2,snv	0.7682997676219985	0.6034679443303673	0.675980747114197	23805	7179	15642
HCC1395_ONT_Dorado,0.4,Longphase_TO_v0_0_1_2,snv	0.7339984594505373	0.5072882601972266	0.5999400389746664	20011	7252	19436
HCC1395_ONT_Dorado,0.2,Longphase_TO_v0_0_1_2,snv	0.5960208182357204	0.22934570436281593	0.3312342108153627	9047	6132	30400
HCC1937_ONT,1.0,Longphase_TO_v0_0_1_2,snv	0.48745375583078654	0.7651328662500789	0.5955147257497974	12122	12746	3721
HCC1937_ONT,0.8,Longphase_TO_v0_0_1_2,snv	0.6351938793253348	0.6917250520734709	0.6622552574329224	10959	6294	4884
HCC1937_ONT,0.6,Longphase_TO_v0_0_1_2,snv	0.5589677850852748	0.6330240484756675	0.5936954269646293	10029	7913	5814
HCC1937_ONT,0.4,Longphase_TO_v0_0_1_2,snv	0.4866300018964536	0.485892823328915	0.4862611332196324	7698	8121	8145
